Year,City,ONS_Code,Trn_Op,AM_Num,AM_PIXC,obsStatus,AM_stand,obsStatus1,PM_Num,obsStatus2,PM_PIXC,obsStatus3,PM_stand,obsStatus4
2012,bristol,E06000023,first-great-western,42,0.0061930585923873,,0.0704746167995075,,42,,0.0,,0.0671895233828077,
2012,bristol,E06000023,south-west-trains,1,,r,,r,0,,,x,,x
2012,bristol,E06000023,total,52,0.0051381493852454,,0.0603042056313796,,52,,0.0044338342897149,,0.0592382302890817,
2012,cardiff,W06000015,arriva-trains-wales,96,0.0066678727418396,,0.086758156083357,,97,,0.0,,0.0444876002087354,
2012,cardiff,W06000015,crosscountry,3,0.0,,0.0,,3,,0.0,,0.0,
2012,cardiff,W06000015,first-great-western,15,0.0,,0.0,,15,,0.0,,0.0,
2012,cardiff,W06000015,total,114,0.005306836285178,,0.0690492078304534,,115,,0.0,,0.0336426862241112,
2012,leeds,E08000035,crosscountry,4,0.0,,0.0,,8,,0.0083636610974434,,0.0478212048862126,
2012,leeds,E08000035,east-coast,6,0.0,,0.0,,6,,0.0,,0.0,
2012,leeds,E08000035,first-transpennine-express,22,0.0252962108210349,,0.204850392831458,,25,,0.0342151538441585,,0.220025915437928,
2012,leeds,E08000035,northern-rail,81,0.0229506195446499,,0.119208936092291,,77,,0.0099821973550356,,0.100457782299084,
2012,leeds,E08000035,total,113,0.0215825706394366,,0.127694169423071,,116,,0.0145391483474361,,0.116984449998891,
2012,leicester,E06000016,crosscountry,10,0.0,,0.0,,10,,0.0,,0.0032756068937046,
2012,leicester,E06000016,east-midlands-trains,28,0.004101846171914,,0.0061030810628061,,27,,0.01518199855906,,0.035001337615881,
2012,leicester,E06000016,total,38,0.003273995650015,,0.0048713335444251,,37,,0.0122269054575198,,0.0288260974040134,
2012,liverpool,E08000012,east-midlands-trains,2,,r,,r,3,,0.0,,0.0,
2012,liverpool,E08000012,first-transpennine-express,3,0.0,,0.0,,3,,0.0,,0.167122918660357,
2012,liverpool,E08000012,london-midland,6,0.0,,0.0,,6,,0.0,,0.0,
2012,liverpool,E08000012,merseyrail-note-2,90,0.0009268413247652,,0.0422021749876421,,95,,0.0022081642396753,,0.0466101694915254,
2012,liverpool,E08000012,northern-rail,23,0.0085028849073792,,0.070452474946857,,26,,0.0010214504596527,,0.093973442288049,
2012,liverpool,E08000012,virgin-trains,2,,r,,r,3,,0.0,,0.0,
2012,liverpool,E08000012,totalr,126,0.0020451707408144,,0.0435193308801209,,136,,0.0017881170419399,,0.0540775047093228,
2012,london,E12000007,c2c,48,0.0460574348990022,,0.24771842297396,,44,,0.0095642553798936,,0.14207201741551,
2012,london,E12000007,chiltern-railways-note-2,41,0.0865794278758369,,0.11488131466829,,44,,0.0089571940411088,,0.0252687158212333,
2012,london,E12000007,east-coast,14,0.0,,0.0,,16,,0.0021823370600766,,0.0021823370600766,
2012,london,E12000007,east-midlands-trains,13,0.0717056598946523,,0.0717056598946523,,15,,0.0881266471830493,,0.0881266471830493,
2012,london,E12000007,first-capital-connect,120,0.0188449082305006,,0.117237810134552,,124,,0.0066596025222104,,0.0723786523928458,
2012,london,E12000007,first-great-western,66,0.0960065748117547,,0.152519826860397,,60,,0.0442258997241074,,0.102866908207782,
2012,london,E12000007,greater-anglia-note-2,159,0.042523584324067,,0.136070953885551,,155,,0.0179413209536434,,0.07525406599192,
2012,london,E12000007,london-midland,25,0.0182424758659852,,0.120528109028961,,24,,0.0744780755616557,,0.139998555226468,
2012,london,E12000007,london-overground,8,0.0,,0.479732739420935,,9,,0.0,,0.408374606033318,
2012,london,E12000007,south-west-trains,148,0.0507559501063131,,0.277638966459919,,149,,0.031759695541863,,0.223280627038782,
2012,london,E12000007,southeastern,206,0.0212256828490727,,0.185813701659132,,198,,0.0020067081386348,,0.0961786543588567,
2012,london,E12000007,southern,165,0.0570284931795439,,0.250571443619318,,157,,0.0170537205668409,,0.134584298722992,
2012,london,E12000007,virgin-trains,28,0.007202983229362,,0.007202983229362,,32,,0.0130628193231853,,0.0130628193231853,
2012,london,E12000007,total,1041,0.0417374763310819,,0.197764034912555,,1027,,0.0177346678992365,,0.123554550661453,
2012,manchester,E08000003,arriva-trains-wales,7,0.06626868941344,,0.06626868941344,,7,,0.0,,0.0135021097046414,
2012,manchester,E08000003,crosscountry,6,0.0,,0.03227429528327,,6,,0.0208803897948902,,0.119701439541685,
